date,year,month,visitors,visitors_dom,visitors_intl,tdt_nominal,spend_real,visitor_index,spending_index,spv,visitor_index_yoy,spending_index_yoy,spv_yoy
2011-10-31,2011,10,NA,NA,NA,1234675.06,NA,NA,NA,NA,NA,NA,NA
2011-11-30,2011,11,NA,NA,NA,1173931.09,NA,NA,NA,NA,NA,NA,NA
2011-12-31,2011,12,NA,NA,NA,1424968.09,NA,NA,NA,NA,NA,NA,NA
2012-01-31,2012,1,NA,NA,NA,1955052.53,NA,NA,NA,NA,NA,NA,NA
2012-02-29,2012,2,NA,NA,NA,2491638.2,NA,NA,NA,NA,NA,NA,NA
2012-03-31,2012,3,NA,NA,NA,3932102.44,NA,NA,NA,NA,NA,NA,NA
2012-04-30,2012,4,NA,NA,NA,5226808.94,NA,NA,NA,NA,NA,NA,NA
2012-05-31,2012,5,NA,NA,NA,2553659.53,NA,NA,NA,NA,NA,NA,NA
2012-06-30,2012,6,NA,NA,NA,1664436.62,NA,NA,NA,NA,NA,NA,NA
2012-07-31,2012,7,NA,NA,NA,1956999.04,NA,NA,NA,NA,NA,NA,NA
2012-08-31,2012,8,NA,NA,NA,1799827.6,NA,NA,NA,NA,NA,NA,NA
2012-09-30,2012,9,NA,NA,NA,1257450.25,NA,NA,NA,NA,NA,NA,NA
2012-10-31,2012,10,NA,NA,NA,1079551.33,NA,NA,NA,NA,NA,NA,NA
2012-11-30,2012,11,NA,NA,NA,1254994.86,NA,NA,NA,NA,NA,NA,NA
2012-12-31,2012,12,NA,NA,NA,1529322.46,NA,NA,NA,NA,NA,NA,NA
2013-01-31,2013,1,NA,NA,NA,2167564.31,NA,NA,NA,NA,NA,NA,NA
2013-02-28,2013,2,NA,NA,NA,2758237.46,NA,NA,NA,NA,NA,NA,NA
2013-03-31,2013,3,NA,NA,NA,4077385.41,NA,NA,NA,NA,NA,NA,NA
2013-04-30,2013,4,NA,NA,NA,5700539.12,NA,NA,NA,NA,NA,NA,NA
2013-05-31,2013,5,NA,NA,NA,2675743.52,NA,NA,NA,NA,NA,NA,NA
2013-06-30,2013,6,NA,NA,NA,1861034.4,NA,NA,NA,NA,NA,NA,NA
2013-07-31,2013,7,NA,NA,NA,2013930.95,NA,NA,NA,NA,NA,NA,NA
2013-08-31,2013,8,NA,NA,NA,1978305.36,NA,NA,NA,NA,NA,NA,NA
2013-09-30,2013,9,NA,NA,NA,1438814.55,NA,NA,NA,NA,NA,NA,NA
2013-10-31,2013,10,NA,NA,NA,1166105.46,NA,NA,NA,NA,NA,NA,NA
2013-11-30,2013,11,NA,NA,NA,1312022.49,NA,NA,NA,NA,NA,NA,NA
2013-12-31,2013,12,NA,NA,NA,1816439.23,NA,NA,NA,NA,NA,NA,NA
2014-01-31,2014,1,NA,NA,NA,2501806.75,NA,NA,NA,NA,NA,NA,NA
2014-02-28,2014,2,NA,NA,NA,3282020.54,NA,NA,NA,NA,NA,NA,NA
2014-03-31,2014,3,NA,NA,NA,4964495.82,NA,NA,NA,NA,NA,NA,NA
2014-04-30,2014,4,NA,NA,NA,6365498.19,NA,NA,NA,NA,NA,NA,NA
2014-05-31,2014,5,NA,NA,NA,3378417.17,NA,NA,NA,NA,NA,NA,NA
2014-06-30,2014,6,NA,NA,NA,2139855.49,NA,NA,NA,NA,NA,NA,NA
2014-07-31,2014,7,NA,NA,NA,2233560.43,NA,NA,NA,NA,NA,NA,NA
2014-08-31,2014,8,NA,NA,NA,2284279.4,NA,NA,NA,NA,NA,NA,NA
2014-09-30,2014,9,NA,NA,NA,1753442.04,NA,NA,NA,NA,NA,NA,NA
2014-10-31,2014,10,NA,NA,NA,1314009.59,NA,NA,NA,NA,NA,NA,NA
2014-11-30,2014,11,NA,NA,NA,1567949.48,NA,NA,NA,NA,NA,NA,NA
2014-12-31,2014,12,NA,NA,NA,2026109.15,NA,NA,NA,NA,NA,NA,NA
2015-01-31,2015,1,NA,NA,NA,2949793.15,NA,NA,NA,NA,NA,NA,NA
2015-02-28,2015,2,NA,NA,NA,4477215.18,NA,NA,NA,NA,NA,NA,NA
